"年月日","牡羊座","牡牛座","双子座","蟹座","獅子座","乙女座","天秤座","蠍座","射手座","山羊座","水瓶座","魚座"
"20150521","10","9","7","2","4","8","1","6","3","11","5","12"
"20150522","11","2","10","7","5","9","6","3","1","12","8","4"
"20150523","10","1","4","12","9","2","5","7","3","8","11","6"
"20150524","12","8","10","3","6","4","1","2","9","7","11","5"
"20150525","11","5","12","1","2","3","7","10","6","8","9","4"
"20150526","5","10","3","9","12","4","2","6","7","1","11","8"
"20150527","1","11","10","9","3","12","4","7","6","8","5","2"
"20150528","10","3","6","1","2","7","4","5","8","12","11","9"
"20150529","4","1","9","8","10","6","11","3","2","12","7","5"
"20150530","9","2","11","8","6","10","1","5","3","7","12","4"
"20150531","8","3","1","5","4","12","9","2","6","10","7","11"
"20150601","7","6","1","3","12","8","2","4","10","9","11","5"
"20150602","6","11","10","3","2","4","12","1","8","9","7","5"
"20150603","1","12","4","8","2","9","5","10","11","3","7","6"
"20150604","7","1","3","11","5","6","2","8","10","12","9","4"
"20150605","4","12","5","11","1","6","8","2","10","9","3","7"
"20150606","4","12","11","5","7","6","9","2","10","1","8","3"
"20150607","5","6","1","11","10","7","3","4","2","9","12","8"
"20150608","7","12","4","3","8","1","6","2","10","11","5","9"
"20150609","2","10","1","7","3","5","12","8","4","9","11","6"
"20150610","3","10","1","5","11","9","12","8","6","4","2","7"
"20150611","11","12","4","9","7","8","2","1","10","6","3","5"
"20150612","9","4","11","10","2","1","12","5","8","7","6","3"
"20150613","4","8","5","6","11","9","10","1","12","3","2","7"
"20150614","10","7","12","2","6","4","11","5","9","3","8","1"
"20150615","4","12","5","7","10","1","6","8","9","3","11","2"
"20150616","8","11","9","7","1","12","5","3","10","4","2","6"
"20150617","8","7","12","3","9","10","6","2","4","5","1","11"
"20150618","9","8","7","4","12","6","2","10","5","1","11","3"
"20150619","2","11","1","8","10","12","3","5","9","7","6","4"
"20150620","4","7","2","6","1","10","5","8","3","12","11","9"
"20150621","10","9","1","12","11","7","8","4","3","5","6","2"
"20150622","9","4","5","10","8","11","3","1","7","12","2","6"
"20150623","1","2","12","4","6","11","8","9","7","5","10","3"
"20150624","7","9","8","1","3","5","4","11","2","12","10","6"
"20150625","2","3","7","12","5","11","4","9","8","10","1","6"
"20150626","8","4","6","5","10","1","11","12","2","9","3","7"
"20150627","11","1","3","9","10","8","12","2","5","4","7","6"
"20150628","3","4","2","11","1","9","10","6","8","12","7","5"
"20150629","4","11","7","12","8","9","2","3","5","6","10","1"
"20150630","5","3","6","9","7","8","4","1","12","2","10","11"
"20150701","10","7","2","3","5","6","8","12","1","9","4","11"
"20150702","3","12","10","2","1","8","7","11","4","5","9","6"
"20150703","1","12","9","10","4","3","2","8","6","7","11","5"
"20150704","1","12","3","11","10","4","8","9","2","5","6","7"
"20150705","8","1","11","3","9","4","10","7","12","2","5","6"
"20150706","3","11","2","5","7","12","8","4","6","9","1","10"
"20150707","1","10","11","5","8","7","2","4","9","6","12","3"
"20150708","12","5","3","2","8","7","6","9","1","11","4","10"
"20150709","5","1","4","9","3","12","11","8","7","2","6","10"
"20150710","6","5","4","9","12","10","11","3","1","7","8","2"
"20150711","9","3","2","7","8","5","1","12","6","4","10","11"
"20150712","9","11","7","3","5","2","10","8","4","6","12","1"
"20150713","9","11","5","10","2","1","8","3","12","6","4","7"
"20150714","1","2","7","3","6","5","11","4","10","9","8","12"
"20150715","3","4","7","2","12","11","9","1","6","5","10","8"
"20150716","10","11","1","5","7","8","2","9","3","12","4","6"
"20150717","1","12","11","6","7","8","2","10","5","9","4","3"
"20150718","12","3","4","11","1","6","2","5","7","8","10","9"
"20150719","5","8","3","1","10","11","6","12","2","9","4","7"
"20150720","1","12","6","9","8","7","2","4","10","5","3","11"
"20150721","3","12","10","4","8","6","9","5","11","2","1","7"
"20150722","6","5","3","11","9","7","4","10","1","2","12","8"
"20150723","2","11","5","6","1","12","9","8","4","7","3","10"
"20150724","1","8","7","11","10","2","9","4","12","3","6","5"
"20150725","5","4","7","6","10","11","1","2","12","8","9","3"
"20150726","8","7","2","9","6","4","3","5","1","10","11","12"
"20150727","3","11","5","4","2","1","7","12","9","6","8","10"
"20150728","1","9","7","2","6","5","12","8","10","3","11","4"
"20150729","2","8","1","12","7","9","4","6","10","5","3","11"
"20150730","11","4","7","6","12","10","9","5","8","1","2","3"
"20150731","4","10","3","5","8","7","9","11","12","6","1","2"
"20150801","12","6","10","7","3","9","2","11","8","4","1","5"
"20150802","10","6","11","3","1","8","12","4","9","7","2","5"
"20150803","2","11","1","3","4","12","10","8","9","5","6","7"
"20150804","6","12","2","10","7","9","1","3","4","5","11","8"
"20150805","2","5","10","9","12","8","6","3","4","1","11","7"
"20150806","5","6","2","10","9","11","4","12","1","7","3","8"
"20150807","3","12","1","2","10","6","9","5","11","7","8","4"
"20150808","4","7","8","9","3","10","12","5","11","1","6","2"
"20150809","11","1","3","6","8","9","2","10","5","12","7","4"
"20150810","12","1","4","9","11","6","2","8","10","3","7","5"
"20150811","9","11","2","10","7","1","3","5","8","6","4","12"
"20150812","8","5","10","11","12","2","9","7","4","1","6","3"
"20150813","6","11","12","5","10","7","1","9","3","2","8","4"
"20150814","2","12","11","1","8","3","6","9","5","7","4","10"
"20150815","4","9","11","1","10","8","2","5","7","3","6","12"
"20150816","11","12","2","5","9","1","3","7","6","4","8","10"
"20150817","10","11","7","3","12","4","6","1","8","2","5","9"
"20150818","12","2","6","3","8","10","5","1","11","4","7","9"
"20150819","12","1","9","8","10","2","3","7","5","6","4","11"
"20150820","5","9","2","7","11","10","1","6","8","12","3","4"
"20150821","4","7","3","11","12","8","6","2","1","5","10","9"
"20150822","11","5","10","9","4","1","6","12","8","2","7","3"
"20150823","11","12","7","5","2","10","3","1","8","9","6","4"
"20150824","11","7","6","1","4","3","2","5","9","12","8","10"
"20150825","2","4","1","12","6","5","3","11","10","8","7","9"
"20150826","1","5","4","11","8","7","10","9","2","3","12","6"
"20150827","4","9","8","11","3","7","10","12","5","2","6","1"
"20150828","4","1","2","10","6","12","9","7","5","11","8","3"
"20150829","10","2","4","1","7","6","9","5","11","12","8","3"
"20150830","1","9","4","7","8","10","2","12","11","5","6","3"
"20150831","8","5","12","6","7","11","9","3","4","1","10","2"
"20150901","8","5","11","7","9","3","10","2","4","1","12","6"
"20150902","1","4","10","6","2","9","8","12","3","5","11","7"
"20150903","6","3","4","10","12","2","1","11","8","9","7","5"
"20150904","1","9","8","12","11","4","3","6","5","7","2","10"
"20150905","11","1","8","12","2","7","9","4","5","6","3","10"
"20150906","6","1","3","10","4","5","2","9","8","7","11","12"
"20150907","2","5","1","7","10","12","3","9","4","11","6","8"
"20150908","1","2","8","12","3","11","10","5","6","7","4","9"
"20150909","11","5","1","9","8","6","3","2","12","4","10","7"
"20150910","9","4","1","5","12","11","2","3","7","6","8","10"
"20150911","9","10","2","12","7","4","11","5","8","6","1","3"
"20150912","6","10","4","11","1","7","5","9","12","8","2","3"
"20150913","2","10","1","6","9","5","4","7","11","8","3","12"
"20150914","1","10","5","11","4","6","2","12","8","3","9","7"
"20150915","1","10","4","9","6","12","7","8","5","11","3","2"
"20150916","1","4","2","5","7","6","8","11","12","10","3","9"
"20150917","5","12","4","7","8","11","10","2","6","1","9","3"
"20150918","7","10","4","9","3","12","8","6","5","11","1","2"
"20150919","12","11","4","6","3","5","8","2","1","10","9","7"
"20150920","8","12","1","4","6","3","10","5","11","7","2","9"
"20150921","7","4","2","10","8","5","1","3","12","6","9","11"
"20150922","10","7","9","11","5","2","6","1","4","12","3","8"
"20150923","8","10","2","6","1","11","4","12","5","3","9","7"
"20150924","12","7","9","10","1","2","6","8","3","4","11","5"
"20150925","6","10","2","11","9","4","7","8","1","3","5","12"
"20150926","10","9","1","5","4","11","2","12","3","8","7","6"
"20150927","8","10","11","1","5","2","7","6","4","3","9","12"
"20150928","3","10","5","6","12","8","2","7","9","11","4","1"
"20150929","9","7","1","4","6","12","2","8","10","11","3","5"
"20150930","7","8","4","12","1","3","6","11","2","5","10","9"
"20151001","12","4","8","9","1","3","6","2","11","7","5","10"
"20151002","12","5","4","8","10","7","3","9","11","6","1","2"
"20151003","8","10","6","5","1","11","3","4","12","9","7","2"
"20151004","10","3","11","12","9","7","1","4","2","8","6","5"
"20151005","2","8","11","5","12","9","7","3","1","10","6","4"
"20151006","10","11","1","12","8","4","9","6","3","7","5","2"
"20151007","3","8","1","10","2","9","7","6","12","5","11","4"
"20151008","3","11","4","5","10","8","1","9","2","12","7","6"
"20151009","1","10","8","12","2","4","11","5","9","6","3","7"
"20151010","9","7","10","12","4","2","1","6","3","11","8","5"
"20151011","12","5","3","10","11","2","6","7","1","4","9","8"
"20151012","3","9","11","7","1","8","5","4","2","10","12","6"
"20151013","4","7","9","8","3","10","1","11","6","5","12","2"
"20151014","4","1","6","7","11","8","2","12","10","9","5","3"
"20151015","7","5","2","10","12","4","11","3","8","6","1","9"
"20151016","1","7","3","10","9","2","8","12","5","6","4","11"
"20151017","1","4","6","10","12","2","9","5","8","3","7","11"
"20151018","11","10","9","3","12","6","7","2","8","1","4","5"
"20151019","11","7","1","3","4","9","6","8","10","12","5","2"
"20151020","4","1","9","7","2","10","3","11","5","6","12","8"
"20151021","7","6","4","10","8","9","2","3","12","11","5","1"
"20151022","5","2","6","12","9","8","11","1","4","7","10","3"
"20151023","9","12","8","11","10","1","4","2","5","3","6","7"
"20151024","12","3","5","1","6","4","10","9","7","8","11","2"
"20151025","7","4","11","10","6","2","1","12","5","9","8","3"
"20151026","3","7","5","4","6","1","12","10","2","9","8","11"
"20151027","7","5","11","4","12","1","10","3","8","2","9","6"
"20151028","12","4","10","9","3","11","5","6","8","2","7","1"
"20151029","9","7","8","4","3","11","10","5","1","12","2","6"
"20151030","12","7","10","8","5","1","9","11","6","2","3","4"
"20151031","10","6","2","3","7","12","4","8","5","9","1","11"
"20151101","11","6","9","10","7","4","1","3","12","8","5","2"
"20151102","4","2","6","1","12","10","9","11","7","8","3","5"
"20151103","4","3","5","2","7","8","6","10","12","1","11","9"
"20151104","1","5","9","4","12","7","8","3","6","2","11","10"
"20151105","9","6","8","1","10","7","2","3","5","11","4","12"
"20151106","6","7","12","11","3","5","8","2","1","9","4","10"
"20151107","8","11","4","2","9","6","1","3","12","10","7","5"
"20151108","11","3","9","4","1","10","12","5","7","6","8","2"
"20151109","8","9","1","2","3","5","10","12","4","6","7","11"
"20151110","12","6","9","7","10","5","4","2","3","8","1","11"
"20151111","4","11","8","3","1","6","10","7","2","5","12","9"
"20151112","4","8","11","7","9","1","5","2","12","10","6","3"
"20151113","10","6","1","12","2","3","4","8","9","11","7","5"
"20151114","3","11","1","12","8","4","9","7","5","10","2","6"
"20151115","2","1","7","9","6","8","10","11","5","3","12","4"
"20151116","3","9","4","2","6","10","1","5","12","8","7","11"
"20151117","6","10","4","11","7","3","8","1","2","5","9","12"
"20151118","8","9","7","1","4","10","3","12","5","6","11","2"
"20151119","1","12","2","8","4","10","5","11","6","9","3","7"
"20151120","3","5","12","1","8","4","11","2","7","6","9","10"
"20151121","11","9","12","1","8","7","10","4","3","2","6","5"
"20151122","7","4","8","11","10","2","1","12","3","9","6","5"
"20151123","6","3","7","4","11","10","5","2","12","8","9","1"
"20151124","1","8","9","12","7","10","6","4","11","3","2","5"
"20151125","4","12","1","8","6","9","3","10","2","7","5","11"
"20151126","8","12","6","5","10","4","9","1","2","3","7","11"
"20151127","9","8","11","10","4","2","6","3","5","1","12","7"
"20151128","6","10","3","5","7","4","8","12","2","11","9","1"
"20151129","10","2","9","1","5","7","6","4","3","11","12","8"
"20151130","11","3","12","6","7","9","8","1","5","2","10","4"
"20151201","12","2","6","1","7","8","11","3","10","4","5","9"
"20151202","1","3","10","7","2","6","9","4","11","12","8","5"
"20151203","11","12","9","7","1","8","4","3","2","10","6","5"
"20151204","9","5","4","11","1","3","2","10","8","12","7","6"
"20151205","1","2","6","5","4","3","7","10","12","11","8","9"
"20151206","9","5","4","10","8","3","7","6","1","12","11","2"
"20151207","6","10","7","5","9","1","11","8","12","3","4","2"
"20151208","10","3","11","7","6","8","9","5","4","12","1","2"
"20151209","5","12","10","6","8","3","2","11","7","4","9","1"
"20151210","7","6","11","8","12","1","4","10","5","2","9","3"
"20151211","10","7","5","3","4","11","2","8","6","9","1","12"
"20151212","9","5","4","8","2","1","7","11","6","3","12","10"
"20151213","8","9","12","11","10","4","6","5","2","1","7","3"
"20151214","4","1","10","3","7","11","2","12","8","5","6","9"
"20151215","4","2","12","10","8","7","9","5","1","6","11","3"
"20151216","3","11","12","10","8","1","4","6","2","7","9","5"
"20151217","1","2","3","12","10","4","6","9","7","11","8","5"
"20151218","7","4","9","6","10","5","3","1","11","12","2","8"
"20151219","11","9","6","3","7","12","5","1","10","8","2","4"
"20151220","9","6","3","4","11","5","8","1","12","7","10","2"
"20151221","1","3","8","6","10","9","7","12","2","11","5","4"
"20151222","6","7","11","9","2","8","3","10","5","1","12","4"
"20151223","4","10","9","6","5","2","11","7","12","1","3","8"
"20151224","9","3","10","11","12","5","6","7","4","8","2","1"
"20151225","11","6","7","5","1","3","4","12","8","10","9","2"
"20151226","11","7","12","8","1","10","9","2","5","3","6","4"
"20151227","6","4","9","2","3","12","10","5","7","1","11","8"
"20151228","2","9","10","4","1","8","6","11","12","5","3","7"
"20151229","6","5","4","11","2","10","7","1","3","12","9","8"
"20151230","2","9","7","4","8","6","11","1","12","3","5","10"
"20151231","5","4","7","10","1","6","2","9","3","11","8","12"
"20160101","12","2","1","11","9","4","8","3","7","5","10","6"
"20160102","8","4","6","3","1","11","12","7","2","10","9","5"
"20160103","6","11","3","2","1","10","9","8","5","12","7","4"
"20160104","6","8","3","9","2","10","7","4","1","5","12","11"
"20160105","9","1","12","5","2","3","6","8","4","11","10","7"
"20160106","11","1","8","3","5","2","10","6","7","4","12","9"
"20160107","8","5","9","10","3","2","11","1","12","4","7","6"
"20160108","12","10","11","7","2","8","5","1","6","9","3","4"
"20160109","3","12","10","1","4","8","11","6","7","2","9","5"
"20160110","4","8","9","7","6","2","3","12","1","5","10","11"
"20160111","11","8","9","3","6","12","5","1","10","4","2","7"
"20160112","10","6","12","8","7","4","5","1","9","2","3","11"
"20160113","3","1","10","4","7","5","9","8","2","12","6","11"
"20160114","4","12","8","1","9","3","7","10","6","5","11","2"
"20160115","1","8","5","11","4","6","3","12","7","9","2","10"
"20160116","2","7","11","10","3","8","6","12","5","1","9","4"
"20160117","5","10","2","6","11","7","3","9","1","4","12","8"
"20160118","6","4","8","3","5","1","10","2","11","9","12","7"
"20160119","3","12","1","8","11","2","9","6","7","5","10","4"
"20160120","11","10","1","4","7","12","8","3","9","6","5","2"
"20160121","4","6","5","2","10","8","9","1","12","11","3","7"
"20160122","12","4","7","2","8","9","10","3","1","6","5","11"
"20160123","10","11","9","2","5","12","4","7","8","3","6","1"
"20160124","8","4","10","12","2","11","7","3","1","6","9","5"
"20160125","4","9","11","3","1","10","8","6","7","12","5","2"
"20160126","2","1","3","10","5","8","12","4","6","7","9","11"
"20160127","8","9","10","5","1","2","3","12","7","6","11","4"
"20160128","11","6","7","2","4","10","3","9","8","1","5","12"
"20160129","7","3","2","6","9","12","5","11","10","4","1","8"
"20160130","5","4","10","11","8","3","2","9","1","7","12","6"
"20160131","3","12","10","9","11","6","8","4","1","2","5","7"
"20160201","5","11","8","7","10","12","4","2","6","9","3","1"
"20160202","4","12","5","9","10","6","2","11","8","1","3","7"
"20160203","12","8","9","11","7","5","10","6","1","2","3","4"
"20160204","8","9","4","1","2","3","10","7","12","6","5","11"
"20160205","10","5","4","9","1","3","6","2","7","12","8","11"
"20160206","1","8","11","4","10","3","6","2","5","12","9","7"
"20160207","3","8","7","10","5","12","9","6","11","1","4","2"
"20160208","9","8","12","1","10","4","3","7","2","6","11","5"
"20160209","2","4","9","11","8","1","5","10","6","12","7","3"
"20160210","12","3","10","11","2","4","8","1","6","9","5","7"
"20160211","12","7","4","5","8","3","6","10","9","1","11","2"
"20160212","9","5","11","4","10","7","1","12","8","6","2","3"
"20160213","7","1","9","12","3","6","5","4","2","11","10","8"
"20160214","4","9","2","7","8","1","10","5","12","3","11","6"
"20160215","12","8","10","11","1","2","7","9","5","4","6","3"
"20160216","1","12","2","10","7","8","9","5","3","11","4","6"
"20160217","1","9","8","4","7","6","11","3","5","10","2","12"
"20160218","10","5","1","6","9","4","11","12","3","7","8","2"
"20160219","10","8","12","3","2","4","11","1","9","5","7","6"
"20160220","1","3","10","12","6","9","11","5","7","8","4","2"
"20160221","4","5","1","2","9","10","11","6","8","7","3","12"
"20160222","3","12","9","4","11","10","2","5","7","6","8","1"
"20160223","10","3","8","12","2","5","11","7","9","1","6","4"
"20160224","12","11","10","6","9","4","5","7","8","2","1","3"
"20160225","11","12","3","7","5","1","2","6","10","4","9","8"
"20160226","10","8","5","7","1","9","2","6","3","4","12","11"
"20160227","7","1","8","12","10","9","11","2","5","3","6","4"
"20160228","5","12","1","4","7","11","6","9","2","3","8","10"
"20160229","3","10","11","12","1","7","5","6","9","2","8","4"
"20160301","3","6","1","12","2","4","10","8","11","5","7","9"
"20160302","4","1","8","9","7","3","11","12","5","10","2","6"
"20160303","10","8","4","3","7","5","1","12","6","2","11","9"
"20160304","12","4","2","6","7","5","9","3","1","8","10","11"
"20160305","10","11","8","9","12","7","3","6","5","1","2","4"
"20160306","3","11","2","5","6","8","12","4","9","1","7","10"
"20160307","5","12","10","1","2","8","4","9","11","6","7","3"
"20160308","5","7","12","8","11","9","2","4","3","10","1","6"
"20160309","1","9","8","10","4","7","11","3","12","2","5","6"
"20160310","10","5","7","6","12","2","8","11","1","4","9","3"
"20160311","6","1","3","8","11","2","12","9","4","7","10","5"
"20160312","9","7","4","12","5","6","10","2","3","11","8","1"
"20160313","12","8","2","11","1","7","10","4","5","6","9","3"
"20160314","4","2","6","12","5","3","11","1","8","9","10","7"
"20160315","8","7","12","9","4","11","1","2","3","5","10","6"
"20160316","4","3","7","6","9","12","5","10","8","11","1","2"
"20160317","10","6","5","2","11","9","7","1","4","12","8","3"
"20160318","10","3","6","5","7","11","4","12","2","9","1","8"
"20160319","1","7","3","4","5","11","2","12","10","6","8","9"
"20160320","10","3","2","12","5","11","9","7","4","6","1","8"
"20160321","11","7","12","6","3","8","5","2","10","4","1","9"
"20160322","8","3","11","12","9","2","7","6","1","4","5","10"
"20160323","3","2","11","7","4","12","1","8","5","6","9","10"
"20160324","6","3","10","5","4","7","11","1","12","9","8","2"
"20160325","6","7","1","4","10","3","5","12","2","11","9","8"
"20160326","4","5","2","9","1","12","3","10","6","7","8","11"
"20160327","2","10","5","7","3","1","9","8","6","4","12","11"
"20160328","7","1","4","10","2","6","9","11","8","12","3","5"
"20160329","11","12","3","1","7","10","4","2","8","6","9","5"
"20160330","5","7","11","6","3","1","8","12","2","10","4","9"
"20160331","7","10","6","12","3","1","5","11","2","8","4","9"
"20160401","11","7","6","12","4","2","1","5","3","10","9","8"
"20160402","9","11","2","6","4","8","5","1","12","3","7","10"
"20160403","11","5","12","4","9","7","1","6","3","2","8","10"
"20160404","1","12","8","10","3","2","5","11","7","9","6","4"
"20160405","9","12","11","4","1","10","2","3","6","5","8","7"
"20160406","5","10","3","2","8","6","1","7","11","12","4","9"
"20160407","9","8","10","1","4","12","6","5","2","11","7","3"
"20160408","4","10","3","6","1","5","12","8","9","7","2","11"
"20160409","3","1","2","4","12","6","5","10","8","9","11","7"
"20160410","5","7","8","11","3","2","1","4","6","10","12","9"
"20160411","2","6","9","7","5","8","11","1","10","3","4","12"
"20160412","6","3","10","7","4","5","2","9","11","1","12","8"
"20160413","1","11","2","9","6","3","7","12","10","8","5","4"
"20160414","10","1","9","5","8","12","2","4","11","7","3","6"
"20160415","2","10","6","3","12","9","8","1","4","5","11","7"
"20160416","2","7","6","4","9","3","1","5","11","10","12","8"
"20160417","3","4","10","1","12","8","11","5","6","9","7","2"
"20160418","3","2","5","7","6","8","12","9","10","1","4","11"
"20160419","7","8","2","10","3","11","12","9","6","1","5","4"
"20160420","3","12","1","10","5","2","8","4","6","11","9","7"
"20160421","7","9","12","1","8","4","5","11","3","6","2","10"
"20160422","3","9","11","6","8","5","4","12","1","2","7","10"
"20160423","5","12","6","9","1","11","3","8","10","7","4","2"
"20160424","10","12","2","6","4","7","8","5","1","3","11","9"
"20160425","3","4","6","7","2","5","8","12","11","10","9","1"
"20160426","3","4","11","7","2","6","9","5","10","1","12","8"
"20160427","1","6","4","3","8","9","2","11","12","7","10","5"
"20160428","4","1","2","8","12","10","11","3","7","6","5","9"
"20160429","3","10","12","7","2","1","6","11","8","9","5","4"
"20160430","11","9","8","5","10","7","3","6","1","2","4","12"
"20160501","8","4","2","12","5","3","9","10","11","7","1","6"
"20160502","7","11","1","8","5","9","10","6","3","12","4","2"
"20160503","9","4","5","2","10","6","3","1","12","7","8","11"
"20160504","5","3","2","1","4","10","12","6","8","11","9","7"
"20160505","9","2","1","11","3","6","8","4","7","12","10","5"
"20160506","9","7","11","6","1","3","12","10","5","2","4","8"
"20160507","12","9","3","5","6","4","10","11","8","1","2","7"
"20160508","3","8","7","2","5","10","6","11","4","12","1","9"
"20160509","2","4","9","11","10","1","7","12","5","3","8","6"
"20160510","10","12","9","6","5","4","11","1","2","7","8","3"
"20160511","1","8","6","4","12","11","10","2","5","7","9","3"
"20160512","1","11","12","7","3","4","6","9","8","5","10","2"
"20160513","10","2","9","7","8","3","4","11","6","12","1","5"
"20160514","2","7","6","5","9","1","8","10","11","4","3","12"
"20160515","12","6","1","9","11","7","3","5","10","8","4","2"
"20160516","4","8","1","12","7","6","2","9","5","10","3","11"
"20160517","8","10","7","2","1","5","3","11","6","12","9","4"
"20160518","9","2","10","5","4","8","12","11","7","1","3","6"
"20160519","3","4","9","6","11","1","2","5","10","8","7","12"
"20160520","9","10","3","1","5","7","12","2","6","8","11","4"
"20160521","8","12","9","6","1","2","4","3","10","5","7","11"
"20160522","2","5","8","9","7","12","11","10","1","6","3","4"
"20160523","12","6","10","4","3","2","1","9","5","11","8","7"
"20160524","1","6","11","4","8","12","7","10","5","2","3","9"
"20160525","1","5","10","12","7","3","2","9","11","6","8","4"
"20160526","8","11","9","7","1","12","10","2","3","5","4","6"
"20160527","3","1","11","12","6","9","8","7","4","2","10","5"
"20160528","8","11","4","9","6","7","10","5","1","3","12","2"
"20160529","7","11","4","1","8","12","10","3","5","6","2","9"
"20160530","6","2","5","10","7","12","8","3","4","9","11","1"
"20160531","4","11","2","7","10","9","8","6","3","12","1","5"
"20160601","6","4","7","11","8","5","12","2","10","1","9","3"
"20160602","1","11","5","8","12","10","3","7","4","6","9","2"
"20160603","9","12","7","11","5","6","2","3","1","10","8","4"
"20160604","9","12","11","6","8","5","7","3","10","4","2","1"
"20160605","2","10","6","7","8","5","9","1","12","11","3","4"
"20160606","5","8","1","11","12","10","7","6","9","2","3","4"
"20160607","2","9","4","6","7","3","10","1","5","11","12","8"
"20160608","7","9","3","4","11","2","6","10","12","1","5","8"
"20160609","11","8","2","10","7","12","5","3","6","1","4","9"
"20160610","6","1","8","11","3","2","9","7","10","12","5","4"
"20160611","3","5","6","2","1","12","10","8","7","9","11","4"
"20160612","12","3","11","6","10","4","7","5","2","9","8","1"
"20160613","12","11","8","10","2","1","7","4","5","6","9","3"
"20160614","5","3","4","11","8","2","12","6","7","9","1","10"
"20160615","4","9","5","8","1","12","10","11","6","7","2","3"
"20160616","2","12","11","6","4","3","8","10","7","5","9","1"
"20160617","8","11","6","4","2","7","9","5","1","10","12","3"
"20160618","1","9","5","4","8","7","2","11","12","10","3","6"
"20160619","5","2","7","12","4","8","1","11","6","9","10","3"
"20160620","7","4","6","3","1","8","12","11","5","9","10","2"
"20160621","9","10","8","12","6","3","11","2","7","1","5","4"
"20160622","1","3","8","12","4","2","6","11","5","10","7","9"
"20160623","1","11","7","6","8","2","5","3","9","12","10","4"
"20160624","10","9","11","1","4","3","2","5","6","7","8","12"
"20160625","3","6","10","2","4","11","7","8","1","9","12","5"
"20160626","1","11","7","5","3","9","6","2","4","8","12","10"
"20160627","8","11","7","4","9","5","6","2","10","3","12","1"
"20160628","10","11","7","8","6","9","12","1","3","4","2","5"
"20160629","3","2","1","7","9","6","11","8","10","12","5","4"
"20160630","6","4","1","2","8","12","9","10","11","3","5","7"
"20160701","10","8","9","5","12","4","3","11","1","7","2","6"
"20160702","3","1","10","8","5","11","7","6","9","12","2","4"
"20160703","7","1","8","6","12","11","5","2","10","4","9","3"
"20160704","4","2","3","5","7","1","9","11","8","12","10","6"
"20160705","10","9","8","6","11","1","5","2","7","3","12","4"
"20160706","5","1","11","6","9","12","4","7","3","2","10","8"
"20160707","7","5","11","3","6","8","10","9","12","4","2","1"
"20160708","2","6","4","7","3","9","12","8","5","11","10","1"
"20160709","7","1","8","12","3","5","6","2","9","4","11","10"
"20160710","8","7","1","4","2","10","6","3","5","9","12","11"
"20160711","7","4","8","12","1","3","6","10","2","11","9","5"
"20160712","12","9","8","3","2","1","7","6","10","4","11","5"
"20160713","6","1","2","12","7","8","10","3","11","4","5","9"
"20160714","4","5","11","8","3","9","1","10","12","7","6","2"
"20160715","8","12","11","3","1","9","4","2","5","6","7","10"
"20160716","11","3","7","5","1","2","6","9","10","12","4","8"
"20160717","4","5","11","1","9","8","12","10","3","6","7","2"
"20160718","1","9","12","4","2","10","7","5","8","3","6","11"
"20160719","6","5","11","9","8","4","10","12","1","3","7","2"
"20160720","2","9","4","7","3","6","12","8","10","5","1","11"
"20160721","6","9","12","2","8","10","7","1","3","5","11","4"
"20160722","8","2","5","4","12","10","11","1","6","9","3","7"
"20160723","4","9","6","7","2","3","8","12","11","1","5","10"
"20160724","5","9","2","1","12","10","7","4","11","8","6","3"
"20160725","5","2","9","8","4","10","3","7","11","1","12","6"
"20160726","3","11","8","5","1","12","6","10","4","9","2","7"
"20160727","4","2","7","1","3","8","10","5","12","9","6","11"
"20160728","1","10","9","11","3","6","4","8","2","7","5","12"
"20160729","12","10","4","7","9","5","3","6","8","1","2","11"
"20160730","5","12","8","11","4","6","3","10","1","7","9","2"
"20160731","9","1","12","6","4","11","2","5","7","10","3","8"
"20160801","7","8","1","2","5","3","9","10","6","11","4","12"
"20160802","9","5","8","12","1","4","7","2","3","11","10","6"
"20160803","12","11","3","7","1","6","4","8","2","10","5","9"
"20160804","3","5","11","6","4","10","12","1","2","7","9","8"
"20160805","6","4","8","12","9","7","5","10","11","1","3","2"
"20160806","11","7","10","6","9","1","2","8","12","3","5","4"
"20160807","3","7","1","11","4","2","6","10","8","12","5","9"
"20160808","9","6","1","3","2","11","4","8","12","5","7","10"
"20160809","12","11","5","9","10","1","4","8","6","2","7","3"
"20160810","1","8","2","10","5","3","6","11","7","12","9","4"
"20160811","12","2","7","8","6","5","9","3","4","11","1","10"
"20160812","10","1","11","5","12","2","6","3","8","9","7","4"
"20160813","4","12","3","2","7","11","10","9","8","6","1","5"
"20160814","7","2","1","5","9","10","8","6","4","11","12","3"
"20160815","7","10","2","3","9","12","4","11","6","8","5","1"
"20160816","7","9","8","12","10","6","5","2","3","11","4","1"
"20160817","1","6","8","7","9","5","12","3","11","4","10","2"
"20160818","2","4","11","5","9","12","10","6","8","7","3","1"
"20160819","4","6","5","3","1","8","9","7","2","11","12","10"
"20160820","3","8","1","2","6","11","9","10","4","7","5","12"
"20160821","10","12","2","8","7","3","1","4","6","11","5","9"
"20160822","12","2","3","11","4","5","9","6","7","10","1","8"
"20160823","10","5","7","12","3","2","1","4","8","11","6","9"
"20160824","7","2","9","11","1","12","4","3","8","10","5","6"
"20160825","9","6","1","7","3","4","11","8","10","2","5","12"
"20160826","5","3","2","12","9","7","8","11","10","1","6","4"
